np:21 	CNPO:0.0009646308476629404 	f(x*):167.64162448283335 	cpu time:116.4250750541687s
Puntos Generados:
	x 			    y 			    z
	-------------------------------------------------------------
	1.0000 		     0.0000 	  0.0000
	-0.6461 		-0.7325      -0.2144
	0.7140 		    -0.6791 	  0.1701
	0.3522 		    0.9114 	     -0.2127
	-0.7563 		0.6384       -0.1435
	0.0905 		   -0.9779 		 -0.1883
	-0.2105 		0.9335 		  0.2902
	-0.6864 		0.0157 		 -0.7270
	0.1178 		    0.5295 		  0.8401
	0.1232 		    0.1082 		 -0.9865
	0.0525 		    0.8193 		  0.5710
	0.6369 		   -0.4621 		 -0.6171
	-0.2162 		0.7090 		 -0.6713
	-0.9980 		-0.0634       0.0011
	-0.1307 		-0.1714 	  0.9765
	-0.6851 		0.3364 		  0.6462
	-0.1541 		-0.5716      -0.8059
	0.6345          -0.1483 	  0.7586
	0.7139  	     0.3712 	 -0.5938
	0.7124 		     0.5940       0.3737
	-------------------------------------------------------------
