                    x                       y                       z
        -------------------------------------------------------------
        1.0000          0.0000          0.0000
        -0.7039                 -0.2667                 0.6945
        -0.1390                 -0.8202                 0.5611
        -0.2097                 0.8514          0.5028
        -0.3594                 0.3575          0.9042
        0.6879          -0.3277                 0.6885
        0.0866          -0.2636                 1.0009
        -0.8718                 -0.0687                 -0.5150
        -0.8857                 0.4500          0.2860
        -0.0194                 -0.9524                 -0.3181
        0.8623          0.5881          0.1312
        0.8002          0.4331          0.6130
        0.6512          -0.7010                 0.3124
        0.7723          0.3712          -0.5586
        -0.4023                 0.9131          -0.1611
        0.3129          0.8909          0.4102
        0.3227          -0.0363                 -0.9727
        0.2853          0.9014          -0.3376
        0.7743          -0.4844                 -0.4217
        0.2059          0.5019          0.8756
        -------------------------------------------------------------
